booking_id,carrier_code,vehicle,vehicle_capacity,total_amount,total_package,total_weight (tons),total_cbm,total_load_proportion_rate,transport_utilization_rate,num_of_pickup_point,pickup_points,last_pickup_point,num_of_destination_point,store_code,total_loading_time (days),pickup_time (days),delivery_time (days),delivery_month
60-TP-AA-01112024-189687,C,50LD-194.99,9,364771875,780,4.145715,8.3235915,100,83,2,CB,B,1,F,0.02916666666,0.05625000001,0.1951388889,Aug-2024
26-TI-AA-01112024-189676,B,50H-263.10,16,585871159,1680,15.0842895,37.4413935,100,100,1,C,C,1,D,0.1423611111,0.02361111112,1.797916667,Sep-2024
26-TI-AA-01112024-189677,B,50H-601.47,16,410863142,820,8.9157285,21.1605975,60,100,2,AB,B,1,D,0.03611111112,0.07083333332,1.641666667,Sep-2024
19-TP-BB-01112024-189585,D,51D-541.32,2,154798860,160,1.395891,7.480809,100,100,1,B,B,1,E,0.02361111111,0.004166666666,0.6763888889,Sep-2024
02-TP-AA-01112024-189697,E,51C-919.76,5,306931553,720,3.866835,13.876905,100,100,1,C,C,1,E,0.04444444444,0.001388888893,0.6493055556,Oct-2024
02-TP-AA-01112024-189696,E,51C-538.27,5,153669738,480,6.22797,12.342603,100,100,1,C,C,1,E,0.02430555555,0.00277777778,0.6375,Oct-2024
02-TP-AA-01112024-189630,E,51D-336.62,2.2,108439248,230,4.2231,6.1803,100,100,1,C,C,1,E,0.01875,0.0006944444467,0.6229166667,Oct-2024
02-TP-AA-01112024-189631,E,51D-340.46,2,8266617,260,0.9975,1.87845,100,100,1,C,C,1,E,0.005555555559,0.01805555555,0.6201388889,Oct-2024
02-TP-AA-01112024-189695,E,50H-206.50,5,302876145,470,6.238365,13.5493575,100,100,1,C,C,1,E,0.01527777778,0.0006944444467,0.5895833333,Oct-2024
60-TP-AA-02072024-161336,C,51C-853.76,16,264020026,1160,9.852486,21.5505885,100,100,1,C,C,1,F,0.02152777778,0.004861111105,1.044444444,Oct-2024
60-TP-AA-02072024-161337,C,50H-052.71,9,300499898,760,5.6910315,18.05958,100,100,2,AC,C,1,F,0.02083333334,0.04722222222,1.020833333,Oct-2024
60-TP-AA-02072024-161338,C,61C-282.28,16,476401776,960,10.822182,29.4679245,100,100,1,B,B,1,F,0.02777777777,0.01527777778,0.9131944444,Oct-2024
TTPP-AA-03072024-161378,A,51C-053.22,1.4,72503869,260,1.4950425,5.2248105,100,100,1,C,C,1,F,0.008333333331,0.02152777778,0.8284722222,Nov-2024
26-TI-AA-02072024-161317,B,51D-614.65,16,623352867,1730,13.0134795,33.4239675,100,100,2,CA,A,1,D,0.04444444444,0.1201388889,2.845138889,Nov-2024
02-TP-AA-02072024-161345,E,50H-206.50,5,223794572,570,4.25229,9.6121515,100,100,1,C,C,1,E,0.01666666667,0.02847222222,0.7048611111,Nov-2024
02-TP-AA-02072024-161256,E,51D-157.63,2.3,81983361,340,1.791405,7.133826,100,100,2,AC,C,1,E,0.02499999999,0.05833333333,0.675,Nov-2024
60-TP-AA-02082024-168568,C,50LD-165.85,9,336755200,780,8.195985,18.443418,100,100,3,CBA,A,1,F,0.07291666667,0.06597222222,0.2527777778,Nov-2024
